Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
MIK,"The Michaels Companies, Inc.",18.53,3499424632,n/a,2014,Consumer Services,Recreational Products/Toys,http://www.nasdaq.com/symbol/mik
MIDD,The Middleby Corporation,132.29,7610910529,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/midd
TTD,"The Trade Desk, Inc.",50.15,2003752528,n/a,2016,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/ttd
ULTI,"The Ultimate Software Group, Inc.",207.25,6158595198,n/a,1998,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ulti
TBPH,"Theravance Biopharma, Inc.",39.33,2098694973,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/tbph
TIVO,TiVo Corporation,18.8,2276360400,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/tivo
TSEM,Tower Semiconductor Ltd.,24.44,2336594705,n/a,1994,Technology,Semiconductors,http://www.nasdaq.com/symbol/tsem
TSCO,Tractor Supply Company,57.15,7347440601,n/a,1994,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/tsco
TRMB,Trimble Inc.,36.52,9235801033,n/a,1990,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/trmb
TRIP,"TripAdvisor, Inc.",38.78,5476781470,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/trip
TRVG,trivago N.V.,18.8,564500738,30026635,2016,n/a,n/a,http://www.nasdaq.com/symbol/trvg
TRMK,Trustmark Corporation,33.35,2258776624,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/trmk
UBNT,"Ubiquiti Networks, Inc.",48.94,3928317437,n/a,2011,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/ubnt
UPL,Ultra Petroleum Corp.,11.84,2333661206,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/upl
RARE,Ultragenyx Pharmaceutical Inc.,58.67,2482498195,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/rare
UMBF,UMB Financial Corporation,76.21,3799174813,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/umbf
UMPQ,Umpqua Holdings Corporation,18.79,4141388041,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/umpq
UBSI,"United Bankshares, Inc.",40.4,4235830233,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ubsi
