Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
AKS,AK Steel Holding Corporation,6.42,2021178099,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/aks
AGI,Alamos Gold Inc.,7.28,2177719733,n/a,2015,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/agi
AA,Alcoa Corporation,32.48,5984120787,n/a,2016,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/aa
ALR,Alere Inc.,49.94,4363193927,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/alr
ALEX,"Alexander & Baldwin Holdings, Inc.",42.56,2091726580,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/alex
ALX,"Alexander&#39;s, Inc.",434.53,2219270724,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/alx
AQN,Algonquin Power & Utilities Corp.,10.5,4015919156,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aqn
Y,Alleghany Corporation,596.34,9194699300,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/y
ALLE,Allegion plc,79.28,7554343371,n/a,2013,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/alle
ALE,"Allete, Inc.",72.87,3707853173,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/ale
AB,AllianceBernstein Holding L.P.,23.25,2243001993,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/ab
LNT,Alliant Energy Corporation,41.25,9397710218,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/lnt
AWH,"Allied World Assurance Company Holdings, AG",52.33,4578072519,n/a,2006,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/awh
ALSN,"Allison Transmission Holdings, Inc.",37.88,5758354261,n/a,2012,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/alsn
ALLY,Ally Financial Inc.,19.93,9151729963,n/a,2014,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/ally
ACH,Aluminum Corporation of China Limited,12.15,7243245937,n/a,2001,Basic Industries,Aluminum,http://www.nasdaq.com/symbol/ach
AMC,"AMC Entertainment Holdings, Inc.",24.25,3174439072,n/a,2013,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/amc
AMFW,Amec Plc Ord,6.35,2496387013,n/a,2014,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/amfw
ACC,American Campus Communities Inc,47.87,6418115965,n/a,2004,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/acc
AEO,"American Eagle Outfitters, Inc.",11.59,2051141931,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/aeo
AEL,American Equity Investment Life Holding Company,25.16,2233026486,n/a,2003,Finance,Life Insurance,http://www.nasdaq.com/symbol/ael
AFG,"American Financial Group, Inc.",100.45,8803126002,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afg
AMH,American Homes 4 Rent,22.21,5749968288,n/a,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/amh
APU,"AmeriGas Partners, L.P.",44.38,4125478836,n/a,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/apu
AU,AngloGold Ashanti Limited,11.4,4654896245,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/au
AXE,Anixter International Inc.,75.45,2506933842,n/a,n/a,Consumer Non-Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/axe
AMGP,Antero Midstream GP LP,22.07,4108776601,n/a,2017,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/amgp
AM,Antero Midstream Partners LP,33.2,6169954201,n/a,2014,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/am
AR,Antero Resources Corporation,22.48,7091263644,n/a,2013,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ar
AIV,Apartment Investment and Management Company,44.32,6959226031,n/a,1994,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiv
APLE,"Apple Hospitality REIT, Inc.",19.39,4324939306,n/a,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aple
AIT,"Applied Industrial Technologies, Inc.",61.6,2404306951,n/a,n/a,Consumer Durables,Industrial Specialties,http://www.nasdaq.com/symbol/ait
ATR,"AptarGroup, Inc.",86.18,5380110106,n/a,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/atr
WTR,"Aqua America, Inc.",33.62,5970967742,n/a,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/wtr
ARMK,Aramark,40.03,9771889905,n/a,2013,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/armk
ARD,Ardagh Group S.A.,22.7,5309439200,n/a,2017,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/ard
ARES,Ares Management L.P.,18,3810972834,n/a,2014,Finance,Investment Managers,http://www.nasdaq.com/symbol/ares
AWI,Armstrong World Industries Inc,45.05,2396383033,n/a,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/awi
ARW,"Arrow Electronics, Inc.",77.08,6847997628,n/a,n/a,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/arw
APAM,Artisan Partners Asset Management Inc.,30.25,2286630926,n/a,2013,Finance,Investment Managers,http://www.nasdaq.com/symbol/apam
ASH,Ashland Global Holdings Inc.,66.69,4150117833,n/a,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/ash
AHL,Aspen Insurance Holdings Limited,50.7,3041413604,n/a,2003,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ahl
ASB,Associated Banc-Corp,25.35,3861308299,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asb
AIZ,"Assurant, Inc.",101.73,5573583037,n/a,2004,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/aiz
AGO,Assured Guaranty Ltd.,41.52,5057893740,n/a,2004,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ago
AF,Astoria Financial Corporation,20.58,2093513651,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/af
ATO,Atmos Energy Corporation,84.33,8878967314,n/a,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/ato
AUO,AU Optronics Corp,4.01,3859322289,n/a,2002,Technology,Semiconductors,http://www.nasdaq.com/symbol/auo
ATHM,Autohome Inc.,44.77,5161856718,n/a,2013,Technology,EDP Services,http://www.nasdaq.com/symbol/athm
ALV,"Autoliv, Inc.",112.15,9905662881,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/alv
AN,"AutoNation, Inc.",42.11,4264117849,n/a,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/an
AVY,Avery Dennison Corporation,85.48,7569901596,n/a,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/avy
AVA,Avista Corporation,43.49,2800238252,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/ava
AVT,"Avnet, Inc.",38.42,4802269826,n/a,n/a,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/avt
AVX,AVX Corporation,16.39,2755304248,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/avx
AXTA,Axalta Coating Systems Ltd.,33.22,8042594091,n/a,2014,Basic Industries,Paints/Coatings,http://www.nasdaq.com/symbol/axta
AXS,Axis Capital Holdings Limited,65.15,5510380876,n/a,2003,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/axs
AXON          ,Axovant Sciences Ltd.,22.51,2406661692,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/axon
AZUL,Azul S.A.,21.13,6543010551,n/a,2017,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/azul
BGS,"B&G Foods, Inc.",40.6,2698863644,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/bgs
BXS,"BancorpSouth, Inc.",30.75,2808811334,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bxs
